
0it [00:00, ?it/s]
1432it [00:05, 272.27it/s, bound: 0 | nc: 3 | ncall: 11553 | eff(%): 12.395 | loglstar:   -inf < -376.811 <    inf | logz: -384.207 +/-  0.025 | dlogz: 384.263 >  0.100]
1473it [00:05, 281.90it/s, bound: 0 | nc: 1 | ncall: 11601 | eff(%): 12.697 | loglstar:   -inf < -371.716 <    inf | logz: -379.044 +/-  0.025 | dlogz: 379.083 >  0.100]
1511it [00:05, 284.11it/s, bound: 0 | nc: 3 | ncall: 11653 | eff(%): 12.967 | loglstar:   -inf < -366.277 <    inf | logz: -373.712 +/-  0.025 | dlogz: 373.768 >  0.100]
1548it [00:05, 283.91it/s, bound: 0 | nc: 2 | ncall: 11701 | eff(%): 13.230 | loglstar:   -inf < -361.168 <    inf | logz: -368.888 +/-  0.025 | dlogz: 368.973 >  0.100]
1593it [00:06, 300.06it/s, bound: 0 | nc: 1 | ncall: 11751 | eff(%): 13.556 | loglstar:   -inf < -354.714 <    inf | logz: -362.475 +/-  0.025 | dlogz: 362.549 >  0.100]
1638it [00:06, 309.25it/s, bound: 0 | nc: 1 | ncall: 11801 | eff(%): 13.880 | loglstar:   -inf < -349.483 <    inf | logz: -356.996 +/-  0.025 | dlogz: 357.025 >  0.100]
1682it [00:06, 295.47it/s, bound: 0 | nc: 1 | ncall: 11851 | eff(%): 14.193 | loglstar:   -inf < -345.183 <    inf | logz: -352.139 +/-  0.024 | dlogz: 352.113 >  0.100]
1730it [00:06, 282.89it/s, bound: 0 | nc: 2 | ncall: 11901 | eff(%): 14.537 | loglstar:   -inf < -340.533 <    inf | logz: -347.307 +/-  0.025 | dlogz: 347.261 >  0.100]
1774it [00:06, 280.86it/s, bound: 0 | nc: 1 | ncall: 11951 | eff(%): 14.844 | loglstar:   -inf < -335.800 <    inf | logz: -343.053 +/-  0.025 | dlogz: 343.029 >  0.100]
1819it [00:06, 284.74it/s, bound: 0 | nc: 1 | ncall: 12001 | eff(%): 15.157 | loglstar:   -inf < -331.705 <    inf | logz: -338.681 +/-  0.025 | dlogz: 338.639 >  0.100]
