
0it [00:00, ?it/s]
1386it [00:04, 293.02it/s, bound: 0 | nc: 1 | ncall: 11501 | eff(%): 12.051 | loglstar:   -inf < -1686.640 <    inf | logz: -1695.732 +/-  0.029 | dlogz: 1700.865 >  0.100]
1432it [00:04, 306.85it/s, bound: 0 | nc: 1 | ncall: 11551 | eff(%): 12.397 | loglstar:   -inf < -1628.538 <    inf | logz: -1638.486 +/-  0.031 | dlogz: 1645.609 >  0.100]
1473it [00:04, 296.69it/s, bound: 0 | nc: 3 | ncall: 11601 | eff(%): 12.697 | loglstar:   -inf < -1583.340 <    inf | logz: -1592.038 +/-  0.028 | dlogz: 1596.616 >  0.100]
1518it [00:04, 299.43it/s, bound: 0 | nc: 1 | ncall: 11651 | eff(%): 13.029 | loglstar:   -inf < -1522.288 <    inf | logz: -1530.614 +/-  0.028 | dlogz: 1535.090 >  0.100]
1563it [00:05, 300.49it/s, bound: 0 | nc: 1 | ncall: 11701 | eff(%): 13.358 | loglstar:   -inf < -1478.229 <    inf | logz: -1487.863 +/-  0.030 | dlogz: 1493.311 >  0.100]
1606it [00:05, 316.89it/s, bound: 0 | nc: 2 | ncall: 11752 | eff(%): 13.666 | loglstar:   -inf < -1434.473 <    inf | logz: -1443.389 +/-  0.029 | dlogz: 1448.291 >  0.100]
1651it [00:05, 309.89it/s, bound: 0 | nc: 3 | ncall: 11802 | eff(%): 13.989 | loglstar:   -inf < -1394.015 <    inf | logz: -1402.428 +/-  0.028 | dlogz: 1406.957 >  0.100]
1692it [00:05, 285.60it/s, bound: 0 | nc: 1 | ncall: 11851 | eff(%): 14.277 | loglstar:   -inf < -1353.905 <    inf | logz: -1363.974 +/-  0.032 | dlogz: 1374.206 >  0.100]
1735it [00:05, 287.85it/s, bound: 0 | nc: 1 | ncall: 11901 | eff(%): 14.579 | loglstar:   -inf < -1317.097 <    inf | logz: -1324.962 +/-  0.027 | dlogz: 1329.239 >  0.100]
1778it [00:05, 289.17it/s, bound: 0 | nc: 2 | ncall: 11951 | eff(%): 14.877 | loglstar:   -inf < -1274.882 <    inf | logz: -1284.077 +/-  0.030 | dlogz: 1289.264 >  0.100]
1817it [00:05, 279.99it/s, bound: 0 | nc: 2 | ncall: 12001 | eff(%): 15.140 | loglstar:   -inf < -1239.592 <    inf | logz: -1248.572 +/-  0.029 | dlogz: 1253.524 >  0.100]
1857it [00:06, 277.84it/s, bound: 0 | nc: 1 | ncall: 12051 | eff(%): 15.410 | loglstar:   -inf < -1215.566 <    inf | logz: -1225.532 +/-  0.031 | dlogz: 1232.061 >  0.100]
1901it [00:06, 279.61it/s, bound: 0 | nc: 1 | ncall: 12101 | eff(%): 15.709 | loglstar:   -inf < -1180.137 <    inf | logz: -1189.493 +/-  0.029 | dlogz: 1194.468 >  0.100]
1941it [00:06, 274.41it/s, bound: 0 | nc: 1 | ncall: 12151 | eff(%): 15.974 | loglstar:   -inf < -1149.304 <    inf | logz: -1158.345 +/-  0.029 | dlogz: 1163.160 >  0.100]
1984it [00:06, 284.07it/s, bound: 0 | nc: 1 | ncall: 12201 | eff(%): 16.261 | loglstar:   -inf < -1120.904 <    inf | logz: -1130.042 +/-  0.029 | dlogz: 1134.996 >  0.100]
2027it [00:06, 277.14it/s, bound: 0 | nc: 1 | ncall: 12251 | eff(%): 16.546 | loglstar:   -inf < -1094.138 <    inf | logz: -1102.298 +/-  0.028 | dlogz: 1106.661 >  0.100]
2067it [00:06, 276.55it/s, bound: 0 | nc: 2 | ncall: 12301 | eff(%): 16.804 | loglstar:   -inf < -1075.362 <    inf | logz: -1083.761 +/-  0.027 | dlogz: 1088.137 >  0.100]
2108it [00:06, 278.16it/s, bound: 0 | nc: 1 | ncall: 12351 | eff(%): 17.067 | loglstar:   -inf < -1057.099 <    inf | logz: -1065.936 +/-  0.028 | dlogz: 1070.468 >  0.100]
2148it [00:07, 276.86it/s, bound: 0 | nc: 1 | ncall: 12401 | eff(%): 17.321 | loglstar:   -inf < -1032.191 <    inf | logz: -1040.747 +/-  0.028 | dlogz: 1045.168 >  0.100]
2187it [00:07, 293.11it/s, bound: 0 | nc: 1 | ncall: 12451 | eff(%): 17.565 | loglstar:   -inf < -1013.657 <    inf | logz: -1022.782 +/-  0.029 | dlogz: 1027.539 >  0.100]
2226it [00:07, 282.85it/s, bound: 0 | nc: 1 | ncall: 12501 | eff(%): 17.807 | loglstar:   -inf < -991.172 <    inf | logz: -999.980 +/-  0.028 | dlogz: 1004.641 >  0.100]  
2268it [00:07, 284.30it/s, bound: 0 | nc: 2 | ncall: 12552 | eff(%): 18.069 | loglstar:   -inf < -963.312 <    inf | logz: -972.276 +/-  0.028 | dlogz: 976.963 >  0.100] 
2305it [00:07, 274.54it/s, bound: 0 | nc: 1 | ncall: 12601 | eff(%): 18.292 | loglstar:   -inf < -939.394 <    inf | logz: -948.259 +/-  0.029 | dlogz: 952.944 >  0.100]
2349it [00:07, 283.35it/s, bound: 0 | nc: 1 | ncall: 12651 | eff(%): 18.568 | loglstar:   -inf < -920.997 <    inf | logz: -929.675 +/-  0.028 | dlogz: 934.221 >  0.100]
2391it [00:07, 291.06it/s, bound: 0 | nc: 1 | ncall: 12701 | eff(%): 18.825 | loglstar:   -inf < -901.872 <    inf | logz: -910.357 +/-  0.028 | dlogz: 914.815 >  0.100]
2435it [00:08, 302.62it/s, bound: 0 | nc: 1 | ncall: 12751 | eff(%): 19.097 | loglstar:   -inf < -881.489 <    inf | logz: -890.226 +/-  0.027 | dlogz: 894.653 >  0.100]
2471it [00:08, 281.87it/s, bound: 0 | nc: 2 | ncall: 12801 | eff(%): 19.303 | loglstar:   -inf < -871.932 <    inf | logz: -880.468 +/-  0.027 | dlogz: 884.809 >  0.100]
2513it [00:08, 284.42it/s, bound: 0 | nc: 1 | ncall: 12851 | eff(%): 19.555 | loglstar:   -inf < -853.437 <    inf | logz: -861.700 +/-  0.027 | dlogz: 866.020 >  0.100]
2552it [00:08, 297.23it/s, bound: 0 | nc: 1 | ncall: 12901 | eff(%): 19.781 | loglstar:   -inf < -836.220 <    inf | logz: -845.579 +/-  0.028 | dlogz: 850.334 >  0.100]
2587it [00:08, 277.05it/s, bound: 0 | nc: 2 | ncall: 12951 | eff(%): 19.975 | loglstar:   -inf < -823.892 <    inf | logz: -831.956 +/-  0.027 | dlogz: 836.193 >  0.100]
2628it [00:08, 277.48it/s, bound: 0 | nc: 1 | ncall: 13001 | eff(%): 20.214 | loglstar:   -inf < -805.461 <    inf | logz: -813.768 +/-  0.027 | dlogz: 818.060 >  0.100]
2669it [00:08, 279.15it/s, bound: 0 | nc: 2 | ncall: 13051 | eff(%): 20.451 | loglstar:   -inf < -793.208 <    inf | logz: -801.990 +/-  0.027 | dlogz: 806.410 >  0.100]
2712it [00:09, 285.78it/s, bound: 0 | nc: 1 | ncall: 13101 | eff(%): 20.701 | loglstar:   -inf < -777.452 <    inf | logz: -785.524 +/-  0.027 | dlogz: 789.765 >  0.100]
2753it [00:09, 288.95it/s, bound: 0 | nc: 1 | ncall: 13151 | eff(%): 20.934 | loglstar:   -inf < -762.645 <    inf | logz: -771.076 +/-  0.028 | dlogz: 775.444 >  0.100]
2792it [00:09, 287.39it/s, bound: 0 | nc: 2 | ncall: 13202 | eff(%): 21.148 | loglstar:   -inf < -746.433 <    inf | logz: -755.847 +/-  0.029 | dlogz: 760.584 >  0.100]
2828it [00:09, 272.04it/s, bound: 0 | nc: 2 | ncall: 13252 | eff(%): 21.340 | loglstar:   -inf < -734.371 <    inf | logz: -742.463 +/-  0.027 | dlogz: 746.687 >  0.100]
2869it [00:09, 281.48it/s, bound: 0 | nc: 1 | ncall: 13301 | eff(%): 21.570 | loglstar:   -inf < -718.325 <    inf | logz: -727.475 +/-  0.029 | dlogz: 732.195 >  0.100]
2907it [00:09, 271.52it/s, bound: 0 | nc: 1 | ncall: 13351 | eff(%): 21.774 | loglstar:   -inf < -703.788 <    inf | logz: -712.340 +/-  0.028 | dlogz: 716.729 >  0.100]
2941it [00:09, 267.94it/s, bound: 0 | nc: 1 | ncall: 13401 | eff(%): 21.946 | loglstar:   -inf < -693.057 <    inf | logz: -701.431 +/-  0.027 | dlogz: 705.641 >  0.100]
2976it [00:10, 277.85it/s, bound: 0 | nc: 1 | ncall: 13451 | eff(%): 22.125 | loglstar:   -inf < -680.879 <    inf | logz: -689.321 +/-  0.027 | dlogz: 693.619 >  0.100]
3015it [00:10, 273.62it/s, bound: 0 | nc: 1 | ncall: 13501 | eff(%): 22.332 | loglstar:   -inf < -669.322 <    inf | logz: -677.103 +/-  0.027 | dlogz: 681.235 >  0.100]
3053it [00:10, 268.58it/s, bound: 0 | nc: 1 | ncall: 13551 | eff(%): 22.530 | loglstar:   -inf < -655.535 <    inf | logz: -664.194 +/-  0.028 | dlogz: 668.549 >  0.100]
3090it [00:10, 272.40it/s, bound: 0 | nc: 1 | ncall: 13601 | eff(%): 22.719 | loglstar:   -inf < -641.272 <    inf | logz: -649.724 +/-  0.027 | dlogz: 653.958 >  0.100]
3127it [00:10, 267.34it/s, bound: 0 | nc: 1 | ncall: 13651 | eff(%): 22.907 | loglstar:   -inf < -633.191 <    inf | logz: -641.209 +/-  0.026 | dlogz: 645.343 >  0.100]
3164it [00:10, 265.82it/s, bound: 0 | nc: 1 | ncall: 13701 | eff(%): 23.093 | loglstar:   -inf < -623.528 <    inf | logz: -631.515 +/-  0.027 | dlogz: 635.664 >  0.100]
3203it [00:10, 267.68it/s, bound: 0 | nc: 1 | ncall: 13751 | eff(%): 23.293 | loglstar:   -inf < -612.672 <    inf | logz: -620.302 +/-  0.027 | dlogz: 624.383 >  0.100]
3246it [00:11, 268.06it/s, bound: 0 | nc: 2 | ncall: 13801 | eff(%): 23.520 | loglstar:   -inf < -599.543 <    inf | logz: -608.200 +/-  0.028 | dlogz: 612.581 >  0.100]
3283it [00:11, 267.47it/s, bound: 0 | nc: 1 | ncall: 13851 | eff(%): 23.702 | loglstar:   -inf < -590.917 <    inf | logz: -598.833 +/-  0.027 | dlogz: 602.961 >  0.100]
3321it [00:11, 265.15it/s, bound: 0 | nc: 1 | ncall: 13901 | eff(%): 23.890 | loglstar:   -inf < -581.167 <    inf | logz: -589.237 +/-  0.027 | dlogz: 593.359 >  0.100]
3351it [00:11, 252.19it/s, bound: 0 | nc: 2 | ncall: 13951 | eff(%): 24.020 | loglstar:   -inf < -572.993 <    inf | logz: -581.464 +/-  0.027 | dlogz: 585.762 >  0.100]
3386it [00:11, 259.52it/s, bound: 0 | nc: 2 | ncall: 14002 | eff(%): 24.182 | loglstar:   -inf < -566.436 <    inf | logz: -574.334 +/-  0.027 | dlogz: 578.448 >  0.100]
3416it [00:11, 230.34it/s, bound: 0 | nc: 1 | ncall: 14051 | eff(%): 24.311 | loglstar:   -inf < -556.718 <    inf | logz: -564.768 +/-  0.027 | dlogz: 568.874 >  0.100]
3453it [00:11, 251.38it/s, bound: 0 | nc: 3 | ncall: 14101 | eff(%): 24.488 | loglstar:   -inf < -546.628 <    inf | logz: -555.174 +/-  0.027 | dlogz: 559.381 >  0.100]
3491it [00:12, 252.11it/s, bound: 0 | nc: 1 | ncall: 14151 | eff(%): 24.670 | loglstar:   -inf < -538.276 <    inf | logz: -546.145 +/-  0.027 | dlogz: 550.241 >  0.100]
3522it [00:12, 239.34it/s, bound: 0 | nc: 1 | ncall: 14201 | eff(%): 24.801 | loglstar:   -inf < -532.571 <    inf | logz: -540.193 +/-  0.026 | dlogz: 544.212 >  0.100]
3557it [00:12, 239.19it/s, bound: 0 | nc: 2 | ncall: 14252 | eff(%): 24.958 | loglstar:   -inf < -525.336 <    inf | logz: -533.209 +/-  0.026 | dlogz: 537.255 >  0.100]
3593it [00:12, 242.81it/s, bound: 0 | nc: 1 | ncall: 14301 | eff(%): 25.124 | loglstar:   -inf < -518.388 <    inf | logz: -526.047 +/-  0.026 | dlogz: 530.083 >  0.100]
3628it [00:12, 241.64it/s, bound: 0 | nc: 6 | ncall: 14354 | eff(%): 25.275 | loglstar:   -inf < -512.413 <    inf | logz: -519.928 +/-  0.026 | dlogz: 523.929 >  0.100]
3658it [00:12, 239.48it/s, bound: 0 | nc: 8 | ncall: 14407 | eff(%): 25.390 | loglstar:   -inf < -506.044 <    inf | logz: -514.138 +/-  0.026 | dlogz: 518.217 >  0.100]
3691it [00:12, 237.41it/s, bound: 0 | nc: 1 | ncall: 14451 | eff(%): 25.541 | loglstar:   -inf < -499.275 <    inf | logz: -507.725 +/-  0.026 | dlogz: 511.872 >  0.100]
3728it [00:13, 242.52it/s, bound: 0 | nc: 1 | ncall: 14501 | eff(%): 25.709 | loglstar:   -inf < -493.805 <    inf | logz: -501.818 +/-  0.026 | dlogz: 505.890 >  0.100]
3762it [00:13, 256.53it/s, bound: 0 | nc: 1 | ncall: 14551 | eff(%): 25.854 | loglstar:   -inf < -486.621 <    inf | logz: -494.794 +/-  0.027 | dlogz: 498.927 >  0.100]
3798it [00:13, 241.07it/s, bound: 0 | nc: 1 | ncall: 14601 | eff(%): 26.012 | loglstar:   -inf < -478.599 <    inf | logz: -486.583 +/-  0.027 | dlogz: 490.660 >  0.100]
3831it [00:13, 239.42it/s, bound: 0 | nc: 5 | ncall: 14652 | eff(%): 26.147 | loglstar:   -inf < -473.521 <    inf | logz: -481.112 +/-  0.026 | dlogz: 485.115 >  0.100]
3865it [00:13, 242.90it/s, bound: 0 | nc: 1 | ncall: 14701 | eff(%): 26.291 | loglstar:   -inf < -469.021 <    inf | logz: -476.281 +/-  0.025 | dlogz: 480.235 >  0.100]
3900it [00:13, 245.27it/s, bound: 0 | nc: 1 | ncall: 14751 | eff(%): 26.439 | loglstar:   -inf < -463.624 <    inf | logz: -471.268 +/-  0.026 | dlogz: 475.270 >  0.100]
3937it [00:13, 254.84it/s, bound: 0 | nc: 1 | ncall: 14801 | eff(%): 26.600 | loglstar:   -inf < -457.708 <    inf | logz: -465.867 +/-  0.026 | dlogz: 469.939 >  0.100]
